ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0084	NCBI	NA	GCA_032856145.1	Cronobacter dublinensis	CFSAN133844	PDT001946668.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0085	NCBI	NA	GCA_032856245.1	Cronobacter dublinensis	CFSAN133848	PDT001946663.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0086	NCBI	NA	GCA_033897305.1	Cronobacter dublinensis	CFSAN134835	PDT001995445.1	USA	North America		vacuum dust floor sweepings	2022	Environmental Samples
ND_NC0087	NCBI	NA	GCA_033897405.1	Cronobacter dublinensis	CFSAN135118	PDT001995426.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0088	NCBI	NA	GCA_033897625.1	Cronobacter dublinensis	CFSAN134854	PDT001995383.1	USA	North America		vacuum dust floor sweepings	2022	Environmental Samples
ND_NC0089	NCBI	NA	GCA_033898045.1	Cronobacter dublinensis	CFSAN135065	PDT001996043.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0090	NCBI	NA	GCA_033898165.1	Cronobacter dublinensis	CFSAN135015	PDT001996023.1	USA	North America		nuts nut butter	2022	Food and Food Ingredients
ND_NC0091	NCBI	NA	GCA_033941245.1	Cronobacter dublinensis	CFSAN134889	PDT001996926.1	USA	North America		car mats	2023	Environmental Samples
ND_NC0093	NCBI	NA	GCA_033942095.1	Cronobacter dublinensis	CFSAN135131	PDT001996882.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0094	NCBI	NA	GCA_033942165.1	Cronobacter dublinensis	CFSAN135130	PDT001996878.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0095	NCBI	NA	GCA_033943705.1	Cronobacter dublinensis	CFSAN134897	PDT001996137.1	USA	North America		vacuum dust floor sweepings	2023	Environmental Samples
ND_NC0096	NCBI	NA	GCA_033944145.1	Cronobacter dublinensis	CFSAN135089	PDT001996103.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0097	NCBI	NA	GCA_033944185.1	Cronobacter dublinensis	CFSAN134972	PDT001996106.1	USA	North America		vacuum dust floor sweepings	2023	Environmental Samples
ND_NC0098	NCBI	NA	GCA_033944565.1	Cronobacter dublinensis	CFSAN135066	PDT001996071.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0099	NCBI	NA	GCA_033944645.1	Cronobacter dublinensis	CFSAN134974	PDT001996068.1	USA	North America		kitchen floor	2023	Environmental Samples
ND_NC0100	NCBI	NA	GCA_033960385.1	Cronobacter dublinensis	CFSAN135132	PDT002008125.1	USA	North America		sprouts	2023	Food and Food Ingredients
ND_NC0101	NCBI	NA	GCA_033960505.1	Cronobacter dublinensis	CFSAN135080	PDT002008115.1	USA	North America		grain	2023	Food and Food Ingredients
ND_NC0102	NCBI	NA	GCA_033962475.1	Cronobacter dublinensis	CFSAN134958	PDT002008008.1	USA	North America		vacuum dust floor sweepings	2023	Environmental Samples
ND_NC0103	NCBI	NA	GCA_034001925.1	Cronobacter dublinensis	PNUSAR000004	PDT001994917.2	Unknown	Unknown		missing	2023	Unknown and Unclassified Sources
ND_NC0104	NCBI	NA	GCA_034257795.1	Cronobacter dublinensis	CFSAN135601	PDT002020611.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0105	NCBI	NA	GCA_034408785.1	Cronobacter dublinensis	CFSAN135220	PDT002008080.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0106	NCBI	NA	GCA_035867885.1	Cronobacter dublinensis	2193-20	PDT002054854.1	Unknown	Unknown		missing	Unknown	Unknown and Unclassified Sources
ND_NC0108	NCBI	NA	GCA_044703525.1	Cronobacter dublinensis	CFSAN139865	PDT002445444.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0109	NCBI	NA	GCA_044703545.1	Cronobacter dublinensis	CFSAN139879	PDT002445391.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0110	NCBI	NA	GCA_044709875.1	Cronobacter dublinensis	CFSAN139825	PDT002422916.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0111	NCBI	NA	GCA_044710195.1	Cronobacter dublinensis	CFSAN139179	PDT002391279.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0112	NCBI	NA	GCA_044710795.1	Cronobacter dublinensis	CFIAFB20240062	PDT002344651.1	Canada	North America		food	2024	Food and Food Ingredients
ND_NC0113	NCBI	NA	GCA_044710875.1	Cronobacter dublinensis	CFSAN138568	PDT002342820.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0114	NCBI	NA	GCA_044710975.1	Cronobacter dublinensis	CFSAN138556	PDT002341943.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0115	NCBI	NA	GCA_044711675.1	Cronobacter dublinensis	CFSAN137616	PDT002213432.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0116	NCBI	NA	GCA_044733085.1	Cronobacter dublinensis	PNUSAR000023	PDT002128246.1	Unknown	Unknown		missing	Unknown	Unknown and Unclassified Sources
ND_NC0117	NCBI	NA	GCA_044734045.1	Cronobacter dublinensis	CFSAN136241	PDT002107393.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0118	NCBI	NA	GCA_044734205.1	Cronobacter dublinensis	CFSAN136238	PDT002107394.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0119	NCBI	NA	GCA_044734225.1	Cronobacter dublinensis	CFSAN136246	PDT002107405.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0120	NCBI	NA	GCA_044734265.1	Cronobacter dublinensis	CFSAN136263	PDT002107389.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0121	NCBI	NA	GCA_044734345.1	Cronobacter dublinensis	CFSAN136239	PDT002107384.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0122	NCBI	NA	GCA_044734365.1	Cronobacter dublinensis	CFSAN136244	PDT002107383.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0123	NCBI	NA	GCA_044734445.1	Cronobacter dublinensis	CFSAN136333	PDT002107373.1	USA	North America		environmental sponge	2024	Environmental Samples
ND_NC0124	NCBI	NA	GCA_044734505.1	Cronobacter dublinensis	CFSAN136247	PDT002107372.1	USA	North America		environmental sponge	2022	Environmental Samples
ND_NC0125	NCBI	NA	GCA_044734845.1	Cronobacter dublinensis	CFSAN136277	PDT002084562.1	USA	North America		environmental sponge	2024	Environmental Samples
ND_NC0126	NCBI	NA	GCA_044735485.1	Cronobacter dublinensis	CFSAN135945	PDT002071086.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0128	NCBI	NA	GCA_044736085.1	Cronobacter dublinensis	CFSAN135985	PDT002071037.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0129	NCBI	NA	GCA_044820065.1	Cronobacter dublinensis	25MDFML001191-6A	PDT002451569.1	USA	North America		organic corn cereal	2024	Food and Food Ingredients
ND_NC0130	NCBI	NA	GCA_044820105.1	Cronobacter dublinensis	25MDFML001191-6B	PDT002451568.1	USA	North America		organic corn cereal	2024	Food and Food Ingredients
ND_NC0131	NCBI	NA	GCA_044820145.1	Cronobacter dublinensis	25MDFML001191-6C	PDT002451567.1	USA	North America		organic corn cereal	2024	Food and Food Ingredients
ND_NC0132	NCBI	NA	GCA_044863125.1	Cronobacter dublinensis	CFSAN140052	PDT002464681.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0133	NCBI	NA	GCA_045970235.1	Cronobacter dublinensis	CFSAN140817	PDT002527328.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0134	NCBI	NA	GCA_045970255.1	Cronobacter dublinensis	CFSAN140820	PDT002527311.1	USA	North America		environmental swab sponge	2024	Environmental Samples
ND_NC0135	NCBI	NA	GCA_047337585.1	Cronobacter dublinensis	FSL-B11-0020	PDT002600730.1	USA	North America		Vacuum Dustbin	2024	Environmental Samples
ND_NC0136	NCBI	NA	GCA_047337605.1	Cronobacter dublinensis	FSL-B11-0015	PDT002600735.1	USA	North America		Kitchen Counter top	2024	Environmental Samples
ND_NC0137	NCBI	NA	GCA_047337745.1	Cronobacter dublinensis	FSL-B11-0028	PDT002600722.1	USA	North America		Vacuum Dustbin	2024	Environmental Samples
ND_NC0138	NCBI	NA	GCA_047337965.1	Cronobacter dublinensis	FSL-B11-0031	PDT002600719.1	USA	North America		Kitchen Floor	2024	Environmental Samples
ND_NC0140	NCBI	NA	GCA_047338045.1	Cronobacter dublinensis	FSL-B11-0005	PDT002600706.1	USA	North America		Vacuum Dustbin	2024	Environmental Samples
ND_NC0142	NCBI	NA	GCA_047338165.1	Cronobacter dublinensis	FSL-B11-0049	PDT002600699.1	USA	North America		Entryway Floor	2024	Environmental Samples
ND_NC0143	NCBI	NA	GCA_047338205.1	Cronobacter dublinensis	FSL-B11-0055	PDT002600693.1	USA	North America		Footwear Sole	2024	Environmental Samples
ND_NC0146	NCBI	NA	GCF_000319345.1	Cronobacter dublinensis	1210	ASM31934v1	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_NC0148	NCBI	NA	GCF_037070295.1	Cronobacter dublinensis	C49	ASM3707029v1	Lebanon	Asia		Sesame seed based food/processing facility 23	2017	Environmental Samples
ND_NC0149	NCBI	NA	GCF_037070315.1	Cronobacter dublinensis	C44	ASM3707031v1	Lebanon	Asia		Sesame seed based food/processing facility 21	2017	Environmental Samples
ND_NC0150	NCBI	NA	GCF_037070335.1	Cronobacter dublinensis	C46	ASM3707033v1	Lebanon	Asia		Sesame seed based food/processing facility 22	2017	Environmental Samples
ND_NC0151	NCBI	NA	GCF_037070345.1	Cronobacter dublinensis	C40	ASM3707034v1	Lebanon	Asia		Sesame seed based food/processing facility 18	2017	Environmental Samples
ND_NC0152	NCBI	NA	GCF_037070395.1	Cronobacter dublinensis	C38	ASM3707039v1	Lebanon	Asia		Sesame seed based food/processing facility 17	2017	Environmental Samples
ND_NC0153	NCBI	NA	GCF_037070405.1	Cronobacter dublinensis	C43	ASM3707040v1	Lebanon	Asia		Sesame seed based food/processing facility 20	2017	Environmental Samples
ND_NC0154	NCBI	NA	GCF_037070505.1	Cronobacter dublinensis	C32	ASM3707050v1	Lebanon	Asia		Sesame seed based food/processing facility 13	2017	Environmental Samples
ND_NC0155	NCBI	NA	GCF_037070535.1	Cronobacter dublinensis	C23	ASM3707053v1	Lebanon	Asia		Sesame seed based food/processing facility 10	2017	Environmental Samples
