ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1409	PubMLST	4046	GCA_028171465.1	Cronobacter sakazakii	CFSAN129062	SRS16583530	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1410	PubMLST	4047	GCA_028216335.1	Cronobacter sakazakii	CFSAN129400	SRS16610705	USA	North America		Environmental	2023	Environmental Samples
ND_PM1411	PubMLST	4048	GCA_028216355.1	Cronobacter sakazakii	CFSAN129389	SRS16610706	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1412	PubMLST	4049	GCA_028216295.1	Cronobacter sakazakii	CFSAN129393	SRS16610708	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1414	PubMLST	4051	GCA_028216215.1	Cronobacter sakazakii	CFSAN129398	SRS16610712	USA	North America		Environmental	2023	Environmental Samples
ND_PM1424	PubMLST	4061	GCA_008922065.1	Cronobacter sakazakii	MOD1_CDC 9363-75	CFSAN097735	USA	North America	NY	Environmental	1975	Environmental Samples
ND_PM1426	PubMLST	4082	GCA_030055385.1	Cronobacter sakazakii	MOD1_GK1351	CFSAN105798	Germany	Europe		Environmental	2015	Environmental Samples
ND_PM1427	PubMLST	4083	GCA_030055335.1	Cronobacter sakazakii	MOD1_GK1350	CFSAN105797	Germany	Europe		Environmental	2015	Environmental Samples
ND_PM1428	PubMLST	4084	GCA_030055355.1	Cronobacter sakazakii	MOD1_GK1511	CFSAN105809	Germany	Europe		Environmental	2015	Environmental Samples
ND_PM1430	PubMLST	4086	GCA_030055295.1	Cronobacter sakazakii	MOD1_GK1576	CFSAN105822	Germany	Europe		Environmental	2015	Environmental Samples
ND_PM1431	PubMLST	4087	GCA_030055275.1	Cronobacter sakazakii	MOD1_GK1575	CFSAN105821	Germany	Europe		Environmental	2015	Environmental Samples
