ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC1957	NCBI	NA	GCA_033945145.1	Cronobacter sakazakii	CFSAN134831	PDT001996042.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1958	NCBI	NA	GCA_033945165.1	Cronobacter sakazakii	CFSAN135023	PDT001996039.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1959	NCBI	NA	GCA_033945185.1	Cronobacter sakazakii	CFSAN135087	PDT001996041.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1960	NCBI	NA	GCA_033945205.1	Cronobacter sakazakii	CFSAN135086	PDT001996040.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1961	NCBI	NA	GCA_033945405.1	Cronobacter sakazakii	CFSAN134998	PDT001996025.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC1962	NCBI	NA	GCA_033945425.1	Cronobacter sakazakii	CFSAN135024	PDT001996022.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1963	NCBI	NA	GCA_033945485.1	Cronobacter sakazakii	CFSAN135022	PDT001996019.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1964	NCBI	NA	GCA_033946545.1	Cronobacter sakazakii	CFSAN135105	PDT001995955.1	USA	North America	NA	trail snack mix	2023	Food and Food Ingredients
ND_NC1965	NCBI	NA	GCA_033946565.1	Cronobacter sakazakii	CFSAN135178	PDT001995954.1	USA	North America	NA	trail snack mix	2023	Food and Food Ingredients
ND_NC1966	NCBI	NA	GCA_033946585.1	Cronobacter sakazakii	CFSAN135019	PDT001995951.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1967	NCBI	NA	GCA_033946605.1	Cronobacter sakazakii	CFSAN134983	PDT001995953.1	USA	North America	NA	car mats	2023	Environmental Samples
ND_NC1968	NCBI	NA	GCA_033946625.1	Cronobacter sakazakii	CFSAN135020	PDT001995952.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1969	NCBI	NA	GCA_033946645.1	Cronobacter sakazakii	CFSAN134841	PDT001995950.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC1970	NCBI	NA	GCA_033946665.1	Cronobacter sakazakii	CFSAN134849	PDT001995949.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1971	NCBI	NA	GCA_033946685.1	Cronobacter sakazakii	CFSAN134984	PDT001995948.1	USA	North America	NA	refrigerator	2023	Environmental Samples
ND_NC1972	NCBI	NA	GCA_033946705.1	Cronobacter sakazakii	CFSAN134842	PDT001995947.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC1973	NCBI	NA	GCA_033946745.1	Cronobacter sakazakii	CFSAN134806	PDT001995945.1	USA	North America	NA	pet food	2023	Food and Food Ingredients
ND_NC1974	NCBI	NA	GCA_033946765.1	Cronobacter sakazakii	CFSAN134851	PDT001995944.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1975	NCBI	NA	GCA_033946785.1	Cronobacter sakazakii	CFSAN135167	PDT001995943.1	USA	North America	NA	seeds	2023	Food and Food Ingredients
ND_NC1976	NCBI	NA	GCA_033946805.1	Cronobacter sakazakii	CFSAN134850	PDT001995941.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1977	NCBI	NA	GCA_033946825.1	Cronobacter sakazakii	CFSAN135168	PDT001995942.1	USA	North America	NA	seeds	2023	Food and Food Ingredients
ND_NC1978	NCBI	NA	GCA_033946845.1	Cronobacter sakazakii	CFSAN135179	PDT001995938.1	USA	North America	NA	sprouts	2023	Food and Food Ingredients
ND_NC1979	NCBI	NA	GCA_033946865.1	Cronobacter sakazakii	CFSAN134839	PDT001995940.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1980	NCBI	NA	GCA_033946885.1	Cronobacter sakazakii	CFSAN135166	PDT001995939.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1981	NCBI	NA	GCA_033946925.1	Cronobacter sakazakii	CFSAN135165	PDT001995935.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1982	NCBI	NA	GCA_033946965.1	Cronobacter sakazakii	CFSAN134846	PDT001995933.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1983	NCBI	NA	GCA_033946985.1	Cronobacter sakazakii	CFSAN134989	PDT001995932.1	USA	North America	NA	bathroom counter	2023	Environmental Samples
ND_NC1984	NCBI	NA	GCA_033947005.1	Cronobacter sakazakii	CFSAN134981	PDT001995865.1	USA	North America	NA	footwear	2023	Environmental Samples
ND_NC1985	NCBI	NA	GCA_033947025.1	Cronobacter sakazakii	CFSAN135175	PDT001995863.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1986	NCBI	NA	GCA_033947045.1	Cronobacter sakazakii	CFSAN134840	PDT001995864.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1987	NCBI	NA	GCA_033947065.1	Cronobacter sakazakii	CFSAN134982	PDT001995862.1	USA	North America	NA	footwear	2023	Environmental Samples
ND_NC1988	NCBI	NA	GCA_033947085.1	Cronobacter sakazakii	CFSAN134843	PDT001995860.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC1989	NCBI	NA	GCA_033947105.1	Cronobacter sakazakii	CFSAN135174	PDT001995858.1	USA	North America	NA	sprouts	2023	Food and Food Ingredients
ND_NC1990	NCBI	NA	GCA_033947125.1	Cronobacter sakazakii	CFSAN134833	PDT001995857.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1991	NCBI	NA	GCA_033947145.1	Cronobacter sakazakii	CFSAN134845	PDT001995855.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1992	NCBI	NA	GCA_033947165.1	Cronobacter sakazakii	CFSAN134844	PDT001995856.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1993	NCBI	NA	GCA_033947185.1	Cronobacter sakazakii	CFSAN135177	PDT001995854.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1994	NCBI	NA	GCA_033947205.1	Cronobacter sakazakii	CFSAN134838	PDT001995850.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1995	NCBI	NA	GCA_033947225.1	Cronobacter sakazakii	CFSAN134837	PDT001995853.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1996	NCBI	NA	GCA_033947245.1	Cronobacter sakazakii	CFSAN134990	PDT001995851.1	USA	North America	NA	car mats	2023	Environmental Samples
ND_NC1997	NCBI	NA	GCA_033947265.1	Cronobacter sakazakii	CFSAN135176	PDT001995852.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1998	NCBI	NA	GCA_033947305.1	Cronobacter sakazakii	CFSAN135164	PDT001995849.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1999	NCBI	NA	GCA_033960345.1	Cronobacter sakazakii	CFSAN134879	PDT002008132.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC2000	NCBI	NA	GCA_033960365.1	Cronobacter sakazakii	CFSAN134991	PDT002008127.1	USA	North America	NA	food production facility environmental sponge	2023	Environmental Samples
ND_NC2001	NCBI	NA	GCA_033960425.1	Cronobacter sakazakii	CFSAN135221	PDT002008122.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2002	NCBI	NA	GCA_033960465.1	Cronobacter sakazakii	CFSAN135207	PDT002008117.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2003	NCBI	NA	GCA_033960485.1	Cronobacter sakazakii	CFSAN135010	PDT002008114.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2004	NCBI	NA	GCA_033960525.1	Cronobacter sakazakii	CFSAN135215	PDT002008112.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2005	NCBI	NA	GCA_033960545.1	Cronobacter sakazakii	CFSAN135078	PDT002008113.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2006	NCBI	NA	GCA_033960565.1	Cronobacter sakazakii	CFSAN135009	PDT002008111.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2007	NCBI	NA	GCA_033960605.1	Cronobacter sakazakii	CFSAN134874	PDT002008109.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC2008	NCBI	NA	GCA_033960625.1	Cronobacter sakazakii	CFSAN134869	PDT002008107.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC2009	NCBI	NA	GCA_033960645.1	Cronobacter sakazakii	CFSAN135079	PDT002008105.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2010	NCBI	NA	GCA_033960665.1	Cronobacter sakazakii	CFSAN135208	PDT002008106.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2011	NCBI	NA	GCA_033960685.1	Cronobacter sakazakii	CFSAN134938	PDT002008102.1	USA	North America	NA	kitchen counter	2023	Environmental Samples
ND_NC2012	NCBI	NA	GCA_033960705.1	Cronobacter sakazakii	CFSAN135157	PDT002008103.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2013	NCBI	NA	GCA_033960765.1	Cronobacter sakazakii	CFSAN135073	PDT002008099.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2014	NCBI	NA	GCA_033960825.1	Cronobacter sakazakii	CFSAN135012	PDT002008121.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2015	NCBI	NA	GCA_033960845.1	Cronobacter sakazakii	CFSAN134821	PDT002008126.1	USA	North America	NA	pet food	2023	Food and Food Ingredients
ND_NC2016	NCBI	NA	GCA_033960865.1	Cronobacter sakazakii	CFSAN135076	PDT002008097.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2017	NCBI	NA	GCA_033960885.1	Cronobacter sakazakii	CFSAN134927	PDT002008108.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC2018	NCBI	NA	GCA_033960905.1	Cronobacter sakazakii	CFSAN134828	PDT002008100.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC2019	NCBI	NA	GCA_033960925.1	Cronobacter sakazakii	CFSAN135074	PDT002008095.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2020	NCBI	NA	GCA_033960945.1	Cronobacter sakazakii	CFSAN135075	PDT002008093.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2021	NCBI	NA	GCA_033960965.1	Cronobacter sakazakii	CFSAN135077	PDT002008094.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2022	NCBI	NA	GCA_033961005.1	Cronobacter sakazakii	CFSAN135159	PDT002008091.1	USA	North America	NA	seeds	2023	Food and Food Ingredients
ND_NC2023	NCBI	NA	GCA_033961025.1	Cronobacter sakazakii	CFSAN135196	PDT002008088.1	USA	North America	NA	sprouts	2023	Food and Food Ingredients
ND_NC2024	NCBI	NA	GCA_033961045.1	Cronobacter sakazakii	CFSAN135007	PDT002008090.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2025	NCBI	NA	GCA_033961065.1	Cronobacter sakazakii	CFSAN134909	PDT002008087.1	USA	North America	NA	food production facility environmental sponge	2023	Environmental Samples
ND_NC2026	NCBI	NA	GCA_033961085.1	Cronobacter sakazakii	CFSAN134825	PDT002008089.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC2027	NCBI	NA	GCA_033961095.1	Cronobacter sakazakii	CFSAN134829	PDT002008086.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC2028	NCBI	NA	GCA_033961145.1	Cronobacter sakazakii	CFSAN135158	PDT002008083.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2029	NCBI	NA	GCA_033961165.1	Cronobacter sakazakii	CFSAN134811	PDT002008082.1	USA	North America	NA	pet food	2023	Food and Food Ingredients
ND_NC2030	NCBI	NA	GCA_033961205.1	Cronobacter sakazakii	CFSAN135153	PDT002008079.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2031	NCBI	NA	GCA_033961265.1	Cronobacter sakazakii	CFSAN135067	PDT002008073.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2032	NCBI	NA	GCA_033961285.1	Cronobacter sakazakii	CFSAN135001	PDT002008075.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2033	NCBI	NA	GCA_033961325.1	Cronobacter sakazakii	CFSAN135228	PDT002008069.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2034	NCBI	NA	GCA_033961405.1	Cronobacter sakazakii	CFSAN134977	PDT002008066.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC2035	NCBI	NA	GCA_033961425.1	Cronobacter sakazakii	CFSAN135197	PDT002008065.1	USA	North America	NA	sprouts	2023	Food and Food Ingredients
ND_NC2036	NCBI	NA	GCA_033961605.1	Cronobacter sakazakii	CFSAN134827	PDT002008056.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC2037	NCBI	NA	GCA_033961855.1	Cronobacter sakazakii	CFSAN135213	PDT002008118.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2038	NCBI	NA	GCA_033961875.1	Cronobacter sakazakii	CFSAN135004	PDT002008043.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2039	NCBI	NA	GCA_033961895.1	Cronobacter sakazakii	CFSAN135002	PDT002008038.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2040	NCBI	NA	GCA_033961905.1	Cronobacter sakazakii	CFSAN134823	PDT002008040.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC2041	NCBI	NA	GCA_033961955.1	Cronobacter sakazakii	CFSAN135003	PDT002008039.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2042	NCBI	NA	GCA_033962055.1	Cronobacter sakazakii	CFSAN135231	PDT002008012.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2043	NCBI	NA	GCA_033962095.1	Cronobacter sakazakii	CFSAN135230	PDT002008011.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2044	NCBI	NA	GCA_033962115.1	Cronobacter sakazakii	CFSAN135005	PDT002008037.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2045	NCBI	NA	GCA_033962355.1	Cronobacter sakazakii	CFSAN134961	PDT002008014.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC2046	NCBI	NA	GCA_033962395.1	Cronobacter sakazakii	CFSAN134915	PDT002008013.1	USA	North America	NA	car mats	2023	Environmental Samples
ND_NC2047	NCBI	NA	GCA_033962435.1	Cronobacter sakazakii	CFSAN134999	PDT002008007.1	USA	North America	NA	nuts nut butter	2022	Food and Food Ingredients
ND_NC2048	NCBI	NA	GCA_033962515.1	Cronobacter sakazakii	CFSAN135018	PDT002008009.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2049	NCBI	NA	GCA_033962555.1	Cronobacter sakazakii	CFSAN135226	PDT002008004.1	USA	North America	NA	environmental swab sponge	2023	Environmental Samples
ND_NC2050	NCBI	NA	GCA_033962575.1	Cronobacter sakazakii	CFSAN134911	PDT002008003.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC2051	NCBI	NA	GCA_033962595.1	Cronobacter sakazakii	CFSAN135147	PDT002008002.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2052	NCBI	NA	GCA_033962615.1	Cronobacter sakazakii	CFSAN134910	PDT002008001.1	USA	North America	NA	vacuum dust floor sweepings	2023	Environmental Samples
ND_NC2053	NCBI	NA	GCA_033962635.1	Cronobacter sakazakii	CFSAN135148	PDT002008000.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2054	NCBI	NA	GCA_033962695.1	Cronobacter sakazakii	CFSAN134929	PDT002007997.1	USA	North America	NA	kitchen counter	2023	Environmental Samples
ND_NC2055	NCBI	NA	GCA_033962715.1	Cronobacter sakazakii	CFSAN134928	PDT002007995.1	USA	North America	NA	kitchen counter	2023	Environmental Samples
ND_NC2056	NCBI	NA	GCA_033962735.1	Cronobacter sakazakii	CFSAN134962	PDT002007996.1	USA	North America	NA	footwear	2023	Environmental Samples
ND_NC2057	NCBI	NA	GCA_033962775.1	Cronobacter sakazakii	CFSAN135198	PDT002007992.1	USA	North America	NA	botanical nutraceutical supplement	2023	Animal and Biological Sources
ND_NC2058	NCBI	NA	GCA_033962855.1	Cronobacter sakazakii	CFSAN135069	PDT002007991.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC2059	NCBI	NA	GCA_033962875.1	Cronobacter sakazakii	CFSAN135071	PDT002007993.1	USA	North America	NA	seeds	2023	Food and Food Ingredients
ND_NC2060	NCBI	NA	GCA_033962965.1	Cronobacter sakazakii	CFSAN134914	PDT002007988.1	USA	North America	NA	kitchen floor	2023	Environmental Samples
